tile_row,tile_column,x1,y1,x2,y2,mean_absolute_residual,residual_standard_deviation
0,0,0,0,64,64,0.446775,0.564835
0,1,64,0,128,64,0.453113,0.571443
0,2,128,0,192,64,0.457241,0.573488
0,3,192,0,256,64,0.483734,0.606574
0,4,256,0,320,64,0.485898,0.610615
0,5,320,0,384,64,0.499303,0.626121
0,6,384,0,448,64,0.504293,0.629067
0,7,448,0,512,64,0.491848,0.62004
0,8,512,0,576,64,0.479753,0.601215
0,9,576,0,640,64,0.482294,0.603772
0,10,640,0,704,64,0.469031,0.587837
0,11,704,0,768,64,0.461849,0.580903
0,12,768,0,832,64,0.452091,0.56556
0,13,832,0,896,64,0.433955,0.543673
0,14,896,0,928,64,0.44491,0.558811
1,0,0,64,64,128,0.452811,0.569981
1,1,64,64,128,128,0.481254,0.602947
1,2,128,64,192,128,0.475724,0.593064
1,3,192,64,256,128,0.506502,0.635909
1,4,256,64,320,128,0.479181,0.602713
1,5,320,64,384,128,1.901385,4.926655
1,6,384,64,448,128,3.820777,7.491632
1,7,448,64,512,128,2.619414,5.811436
1,8,512,64,576,128,0.574799,0.945362
1,9,576,64,640,128,0.510583,0.643986
1,10,640,64,704,128,0.502249,0.629165
1,11,704,64,768,128,0.466225,0.593308
1,12,768,64,832,128,0.477009,0.595061
1,13,832,64,896,128,0.453179,0.570759
1,14,896,64,928,128,0.466188,0.581648
2,0,0,128,64,192,0.462845,0.577527
2,1,64,128,128,192,0.516032,0.644018
2,2,128,128,192,192,0.510356,0.639698
2,3,192,128,256,192,0.527503,0.657389
2,4,256,128,320,192,2.751518,5.683252
2,5,320,128,384,192,9.024726,11.541727
2,6,384,128,448,192,9.906433,12.807714
2,7,448,128,512,192,7.034569,9.563102
2,8,512,128,576,192,5.885464,8.951472
2,9,576,128,640,192,0.548641,0.837196
2,10,640,128,704,192,0.502682,0.629258
2,11,704,128,768,192,0.485513,0.610877
2,12,768,128,832,192,0.489508,0.609554
2,13,832,128,896,192,0.481592,0.603754
2,14,896,128,928,192,0.453918,0.571496
3,0,0,192,64,256,0.473065,0.597237
3,1,64,192,128,256,0.518019,0.647299
3,2,128,192,192,256,0.529431,0.663948
3,3,192,192,256,256,0.548134,0.686339
3,4,256,192,320,256,4.765385,7.570496
3,5,320,192,384,256,1.739037,2.25089
3,6,384,192,448,256,1.862768,2.333488
3,7,448,192,512,256,2.02742,2.536198
3,8,512,192,576,256,6.528225,9.512836
3,9,576,192,640,256,2.426519,5.135235
3,10,640,192,704,256,0.51101,0.638701
3,11,704,192,768,256,0.499997,0.629506
3,12,768,192,832,256,0.489974,0.614656
3,13,832,192,896,256,0.501767,0.625906
3,14,896,192,928,256,0.480648,0.602287
4,0,0,256,64,320,0.491735,0.615367
4,1,64,256,128,320,0.515067,0.649381
4,2,128,256,192,320,0.543562,0.683242
4,3,192,256,256,320,0.55705,0.697914
4,4,256,256,320,320,4.738131,7.316085
4,5,320,256,384,320,5.658737,9.149848
4,6,384,256,448,320,5.376394,9.837585
4,7,448,256,512,320,6.98564,11.163941
4,8,512,256,576,320,4.904258,7.030699
4,9,576,256,640,320,3.208596,5.820901
4,10,640,256,704,320,0.54705,0.689527
4,11,704,256,768,320,0.529484,0.665865
4,12,768,256,832,320,0.504538,0.633495
4,13,832,256,896,320,0.485251,0.607953
4,14,896,256,928,320,0.479235,0.596951
5,0,0,320,64,384,0.490041,0.620185
5,1,64,320,128,384,0.533314,0.668391
5,2,128,320,192,384,0.540045,0.675932
5,3,192,320,256,384,0.569286,0.714654
5,4,256,320,320,384,3.269063,5.11685
5,5,320,320,384,384,4.058849,6.290361
5,6,384,320,448,384,4.243951,8.310847
5,7,448,320,512,384,3.940077,6.287721
5,8,512,320,576,384,2.407552,3.522342
5,9,576,320,640,384,2.464853,3.767053
5,10,640,320,704,384,0.559431,0.69485
5,11,704,320,768,384,0.53175,0.665885
5,12,768,320,832,384,0.527491,0.657402
5,13,832,320,896,384,0.495467,0.620351
5,14,896,320,928,384,0.500395,0.623404
6,0,0,384,64,448,0.509958,0.642079
6,1,64,384,128,448,0.536518,0.672536
6,2,128,384,192,448,0.573092,0.718672
6,3,192,384,256,448,0.576406,0.723153
6,4,256,384,320,448,2.043678,3.458239
6,5,320,384,384,448,2.360468,3.244795
6,6,384,384,448,448,3.477565,4.754055
6,7,448,384,512,448,3.235191,4.283442
6,8,512,384,576,448,2.466298,3.195957
6,9,576,384,640,448,1.697278,2.777739
6,10,640,384,704,448,0.571532,0.719181
6,11,704,384,768,448,0.566257,0.707511
6,12,768,384,832,448,0.525529,0.653325
6,13,832,384,896,448,0.508575,0.640642
6,14,896,384,928,448,0.495211,0.621247
7,0,0,448,64,512,0.502381,0.628092
7,1,64,448,128,512,0.543102,0.677693
7,2,128,448,192,512,0.574926,0.721964
7,3,192,448,256,512,0.574296,0.727344
7,4,256,448,320,512,0.969218,1.562205
7,5,320,448,384,512,3.035889,3.880701
7,6,384,448,448,512,4.23333,5.898831
7,7,448,448,512,512,3.653909,4.999308
7,8,512,448,576,512,3.279516,4.46115
7,9,576,448,640,512,2.173185,5.091362
7,10,640,448,704,512,0.584158,0.730769
7,11,704,448,768,512,0.559767,0.70669
7,12,768,448,832,512,0.550429,0.691741
7,13,832,448,896,512,0.526889,0.663777
7,14,896,448,928,512,0.509882,0.643771
8,0,0,512,64,576,0.51544,0.647029
8,1,64,512,128,576,0.531176,0.666299
8,2,128,512,192,576,0.561699,0.702346
8,3,192,512,256,576,0.591904,0.744681
8,4,256,512,320,576,0.55148,0.687663
8,5,320,512,384,576,2.805702,4.959315
8,6,384,512,448,576,3.45015,4.430745
8,7,448,512,512,576,3.197437,4.102057
8,8,512,512,576,576,2.851103,5.439062
8,9,576,512,640,576,2.101802,5.416203
8,10,640,512,704,576,1.027379,1.991794
8,11,704,512,768,576,0.588441,0.737959
8,12,768,512,832,576,0.584283,0.729343
8,13,832,512,896,576,0.531332,0.668619
8,14,896,512,928,576,0.504574,0.636042
9,0,0,576,64,640,0.50638,0.638543
9,1,64,576,128,640,0.527111,0.662117
9,2,128,576,192,640,0.593128,0.787093
9,3,192,576,256,640,0.8606,1.408714
9,4,256,576,320,640,0.995277,1.693984
9,5,320,576,384,640,3.439932,7.173242
9,6,384,576,448,640,2.003925,2.637959
9,7,448,576,512,640,2.406111,3.393804
9,8,512,576,576,640,3.252481,8.020485
9,9,576,576,640,640,1.245747,1.568837
9,10,640,576,704,640,1.270363,1.721338
9,11,704,576,768,640,1.266058,1.931686
9,12,768,576,832,640,0.890424,1.538093
9,13,832,576,896,640,0.526847,0.661431
9,14,896,576,928,640,0.514502,0.641383
10,0,0,640,64,704,0.514508,0.655669
10,1,64,640,128,704,0.58594,0.748545
10,2,128,640,192,704,0.85712,1.287999
10,3,192,640,256,704,0.618022,0.776883
10,4,256,640,320,704,0.734651,0.924011
10,5,320,640,384,704,3.020968,6.307414
10,6,384,640,448,704,1.730713,2.982016
10,7,448,640,512,704,1.893594,4.808423
10,8,512,640,576,704,2.603965,6.267387
10,9,576,640,640,704,1.624982,2.055179
10,10,640,640,704,704,1.454595,1.823232
10,11,704,640,768,704,1.44372,1.799665
10,12,768,640,832,704,1.443377,1.860535
10,13,832,640,896,704,1.381113,1.953254
10,14,896,640,928,704,0.616158,0.940293
11,0,0,704,64,768,0.532132,0.668007
11,1,64,704,128,768,0.742868,1.086261
11,2,128,704,192,768,0.637097,0.8041
11,3,192,704,256,768,0.680882,0.856657
11,4,256,704,320,768,1.419106,3.149325
11,5,320,704,384,768,0.741343,1.839981
11,6,384,704,448,768,0.512669,0.673342
11,7,448,704,512,768,2.626991,7.635952
11,8,512,704,576,768,1.933352,2.633172
11,9,576,704,640,768,1.899709,2.498516
11,10,640,704,704,768,1.683311,2.088897
11,11,704,704,768,768,1.776717,2.219634
11,12,768,704,832,768,1.917328,2.405675
11,13,832,704,896,768,1.713171,2.154653
11,14,896,704,928,768,1.313829,1.959055
12,0,0,768,64,832,0.523272,0.660521
12,1,64,768,128,832,0.718811,1.039836
12,2,128,768,192,832,0.677106,0.858414
12,3,192,768,256,832,0.781337,0.97767
12,4,256,768,320,832,1.706397,3.88885
12,5,320,768,384,832,0.507989,0.684045
12,6,384,768,448,832,0.702018,1.284509
12,7,448,768,512,832,3.224433,7.818638
12,8,512,768,576,832,1.929298,2.396211
12,9,576,768,640,832,1.833427,2.313225
12,10,640,768,704,832,1.910648,2.345634
12,11,704,768,768,832,2.008993,2.491546
12,12,768,768,832,832,1.921789,2.382404
12,13,832,768,896,832,1.594497,1.985164
12,14,896,768,928,832,1.185228,1.859219
13,0,0,832,64,896,0.508593,0.636813
13,1,64,832,128,896,0.694301,0.958821
13,2,128,832,192,896,0.740204,0.937238
13,3,192,832,256,896,0.855868,1.079853
13,4,256,832,320,896,1.741012,4.180986
13,5,320,832,384,896,0.435969,0.565752
13,6,384,832,448,896,2.432596,7.640306
13,7,448,832,512,896,2.00467,2.771181
13,8,512,832,576,896,1.938198,2.454366
13,9,576,832,640,896,1.882422,2.342237
13,10,640,832,704,896,2.128467,2.626551
13,11,704,832,768,896,2.00356,2.481463
13,12,768,832,832,896,1.895563,2.342699
13,13,832,832,896,896,1.62499,2.036359
13,14,896,832,928,896,1.008511,1.286193
14,0,0,896,64,960,0.504616,0.636859
14,1,64,896,128,960,0.666858,0.881813
14,2,128,896,192,960,0.766958,0.967403
14,3,192,896,256,960,0.935417,1.171196
14,4,256,896,320,960,1.834207,4.631299
14,5,320,896,384,960,0.71274,1.267198
14,6,384,896,448,960,3.186318,8.136776
14,7,448,896,512,960,2.021384,2.533472
14,8,512,896,576,960,1.960568,2.42083
14,9,576,896,640,960,2.066539,2.561833
14,10,640,896,704,960,2.058626,2.550167
14,11,704,896,768,960,1.83948,2.314434
14,12,768,896,832,960,1.839402,2.282305
14,13,832,896,896,960,1.651087,2.035634
14,14,896,896,928,960,1.202539,1.49858
15,0,0,960,64,1024,0.526108,0.659302
15,1,64,960,128,1024,0.603131,0.76975
15,2,128,960,192,1024,0.757874,0.968928
15,3,192,960,256,1024,0.989754,1.241724
15,4,256,960,320,1024,1.783658,4.288015
15,5,320,960,384,1024,1.323417,5.086426
15,6,384,960,448,1024,2.807723,6.444417
15,7,448,960,512,1024,2.150823,2.714654
15,8,512,960,576,1024,2.118445,2.681862
15,9,576,960,640,1024,2.006945,2.572983
15,10,640,960,704,1024,1.703277,2.222135
15,11,704,960,768,1024,1.753785,2.235108
15,12,768,960,832,1024,1.860564,2.300959
15,13,832,960,896,1024,1.57436,1.946261
15,14,896,960,928,1024,1.205656,1.510034
16,0,0,1024,64,1088,0.535213,0.683917
16,1,64,1024,128,1088,0.560589,0.707004
16,2,128,1024,192,1088,0.675332,0.858984
16,3,192,1024,256,1088,1.021858,1.275401
16,4,256,1024,320,1088,2.044078,5.079935
16,5,320,1024,384,1088,2.665828,8.236952
16,6,384,1024,448,1088,1.786181,2.214363
16,7,448,1024,512,1088,2.041366,2.541433
16,8,512,1024,576,1088,1.845711,2.290588
16,9,576,1024,640,1088,1.705998,2.116112
16,10,640,1024,704,1088,1.430024,1.787097
16,11,704,1024,768,1088,1.663288,2.140511
16,12,768,1024,832,1088,1.898997,2.355921
16,13,832,1024,896,1088,1.521633,1.893951
16,14,896,1024,928,1088,1.201881,1.509457
17,0,0,1088,64,1120,0.514734,0.657497
17,1,64,1088,128,1120,0.544481,0.687489
17,2,128,1088,192,1120,0.605633,0.772699
17,3,192,1088,256,1120,0.969698,1.224219
17,4,256,1088,320,1120,2.224798,5.500659
17,5,320,1088,384,1120,3.509638,8.810065
17,6,384,1088,448,1120,1.737858,2.159602
17,7,448,1088,512,1120,1.882393,2.316996
17,8,512,1088,576,1120,1.663528,2.076925
17,9,576,1088,640,1120,1.441387,1.777594
17,10,640,1088,704,1120,1.159914,1.47155
17,11,704,1088,768,1120,1.516497,1.95633
17,12,768,1088,832,1120,1.747698,2.15747
17,13,832,1088,896,1120,1.437325,1.780513
17,14,896,1088,928,1120,1.134243,1.421435
